Player,Height,Weight,Age,School,BDate
PatrickÿPatterson,81,235,24,Kentucky,3/14/1989
GreivisÿVasquez,78,211,26,Maryland,1/16/1987
DeMarcusÿCousins,83,270,23,Kentucky,8/13/1990
BenÿMcLemore,77,195,20,Kansas,2/11/1993
IsaiahÿThomas,69,185,24,Washington,2/7/1989
MarcusÿThornton,76,205,26,LSU,6/5/1987
CarlÿLandry,81,248,30,Purdue,9/19/1983
TravisÿOutlaw,81,207,29,None,9/18/1984
LucÿMbah a Moute,80,230,27,UCLA,9/9/1986
JasonÿThompson,83,250,27,Rider,7/21/1986
ChuckÿHayes,78,238,30,Kentucky,6/11/1983
ColeÿAldrich,83,245,24,Kansas,10/31/1988
JamesÿJohnson,81,248,26,Wake Forest,2/20/1987
