Player,Height,Weight,Age,School,BDate
AndrewÿBynum,84,285,25,None,10/27/1987
CarrickÿFelix,78,200,23,Arizona State,8/17/1990
AlonzoÿGee,78,219,26,Alabama,5/29/1987
TylerÿZeller,84,250,23,North Carolina,1/17/1990
AndreÿDrummond,82,270,20,Connecticut,8/10/1993
JoshÿHarrellson,82,275,24,Kentucky,2/12/1989
ChaunceyÿBillups,75,202,36,Colorado,9/25/1976
RodneyÿStuckey,77,205,27,Eastern Washington,4/21/1986
KentaviousÿCaldwell-Pope,78,205,20,Georgia,2/18/1993
JoshÿSmith,81,225,27,None,12/5/1985
BrandonÿJennings,73,169,23,Italian National,9/23/1989
TonyÿMitchell,81,236,21,North Texas,4/7/1992
GregÿMonroe,83,250,23,Georgetown,6/4/1990
WillÿBynum,72,185,30,Georgia Tech,1/4/1983
LuigiÿDatome,81,210,25,None,11/27/1987
KyleÿSingler,80,230,25,Duke,5/4/1988
CharlieÿVillanueva,83,232,29,Connecticut,8/24/1984
JonasÿJerebko,82,231,26,Angelico Biella,3/3/1987
PeytonÿSiva,73,181,22,Louisville,10/24/1990
CoreyÿMaggette,78,225,33,Duke,11/12/1979
DarnellÿJackson,81,253,27,Kansas,11/7/1985
RonÿHoward,77,200,30,Valparaiso,11/14/1982
LanceÿStephenson,77,210,23,Cincinnati,9/5/1990
GeorgeÿHill,74,180,27,IUPUI,5/4/1986
LuisÿScola,81,245,33,None,4/30/1980
SamÿYoung,78,220,28,Pittsburgh,6/1/1985
SolomonÿHill,79,220,22,Arizona,3/18/1991
OrlandoÿJohnson,77,220,24,UC Santa Barbara,3/11/1989
DonaldÿSloan,75,205,25,Texas A&M,1/15/1988
DavidÿWest,81,240,33,Xavier,8/29/1980
ChrisÿCopeland,81,235,29,Colorado,3/17/1984
BenÿHansbrough,75,203,25,Notre Dame,12/23/1987
PaulÿGeorge,80,210,23,Fresno State,5/2/1990
IanÿMahinmi,83,230,26,None,11/5/1986
C.J.ÿWatson,74,175,29,Tennessee,4/17/1984
DannyÿGranger,80,228,30,New Mexico,4/20/1983
RoyÿHibbert,86,278,26,Georgetown,12/11/1986
CaronÿButler,79,228,33,Connecticut,3/13/1980
O.J.ÿMayo,76,210,25,USC,11/5/1987
EkpeÿUdoh,82,240,26,Baylor,5/20/1987
NateÿWolters,76,190,22,South Dakota State,5/15/1991
ErsanÿIlyasova,82,235,26,None,5/15/1987
LarryÿSanders,83,235,24,Virginia Commonwealth,11/21/1988
MiroslavÿRaduljica,84,240,25,None,1/5/1988
CarlosÿDelfino,78,230,31,None,8/29/1982
BrandonÿKnight,75,189,21,Kentucky,12/2/1991
GaryÿNeal,76,210,28,Towson,10/3/1984
LukeÿRidnour,74,175,32,Oregon,2/13/1981
KhrisÿMiddleton,79,215,22,Texas A&M,8/12/1991
ZazaÿPachulia,83,275,29,None,2/10/1984
JohnÿHenson,83,220,22,North Carolina,12/28/1990
GiannisÿAntetokounmpo,81,205,18,None,12/16/1994
RoyalÿIvey,76,215,31,Texas,12/20/1981
JeffÿTeague,74,181,25,Wake Forest,6/10/1988
DamienÿWilkins,78,225,33,Georgia,1/11/1980
LouÿWilliams,73,175,26,None,10/27/1986
PaulÿMillsap,80,253,28,Louisiana Tech,2/10/1985
DeMarreÿCarroll,80,212,27,Missouri,7/27/1986
PeroÿAntic,82,260,31,None,7/29/1982
JaredÿCunningham,76,185,22,Oregon State,3/22/1991
ShelvinÿMack,75,215,24,Butler,4/22/1989
JohanÿPetro,84,247,27,None,1/27/1986
